Label,Name,Type,Length,Unique,Externalid,Precision,Picklistvalues,Calculatedformula,Defaultvalue,Controllername,Relationshipname,Referenceto,Inlinehelptext,Nillable,Createable,Custom,Dependentpicklist
"Active","IsActive","boolean","","","","","","","","","","","","","True","",""
"Created By ID","CreatedById","reference","18","","","","","","","","CreatedBy","User","","","","",""
"Created Date","CreatedDate","datetime","","","","","","","","","","","","","","",""
"Deleted","IsDeleted","boolean","","","","","","","","","","","","","","",""
"Last Modified By ID","LastModifiedById","reference","18","","","","","","","","LastModifiedBy","User","","","","",""
"Last Modified Date","LastModifiedDate","datetime","","","","","","","","","","","","","","",""
"List Price","UnitPrice","currency","","","","18","","","","","","","","","True","",""
"Price Book Entry ID","Id","id","18","","","","","","","","","","","","","",""
"Price Book ID","Pricebook2Id","reference","18","","","","","","","","Pricebook2","Pricebook2","","","True","",""
"Product Code","ProductCode","string","255","","","","","","","","","","","True","","",""
"Product ID","Product2Id","reference","18","","","","","","","","Product2","Product2","","","True","",""
"Product Name","Name","string","255","","","","","","","","","","","True","","",""
"System Modstamp","SystemModstamp","datetime","","","","","","","","","","","","","","",""
"Use Standard Price","UseStandardPrice","boolean","","","","","","","","","","","","","True","",""
